chief_complaint_raw,cc_stripped
"suture removal request, since yesterday",suture removal request
"suture removal request, worsening with movement",suture removal request
suture removal request，worsening over hours,suture removal request
suture removal request with associated nausea,suture removal request with associated nausea
suture removal request with diaphoresis,suture removal request with diaphoresis
suture removal request with fever,suture removal request with fever
suture removal request with rigors,suture removal request with rigors
suture removal request with vomiting,suture removal request with vomiting
symptomatic severe hypoglycaemia,symptomatic  hypoglycaemia
symptomatic severe hypoglycaemia in known patient,symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, constant",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, for 2 days",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, intermittent",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, no prior history of this",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, onset today",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, since yesterday",symptomatic  hypoglycaemia
"symptomatic severe hypoglycaemia, worsening with movement",symptomatic  hypoglycaemia
symptomatic severe hypoglycaemia，worsening over hours,symptomatic  hypoglycaemia
symptomatic severe hypoglycaemia with associated nausea,symptomatic  hypoglycaemia with associated nausea
symptomatic severe hypoglycaemia with diaphoresis,symptomatic  hypoglycaemia with diaphoresis
symptomatic severe hypoglycaemia with fever,symptomatic  hypoglycaemia with fever
symptomatic severe hypoglycaemia with rigors,symptomatic  hypoglycaemia with rigors
symptomatic severe hypoglycaemia with vomiting,symptomatic  hypoglycaemia with vomiting
temporal bone fracture,temporal bone fracture
temporal bone fracture in known patient,temporal bone fracture
"temporal bone fracture, constant",temporal bone fracture
"temporal bone fracture, for 2 days",temporal bone fracture
"temporal bone fracture, intermittent",temporal bone fracture
"temporal bone fracture, no prior history of this",temporal bone fracture
"temporal bone fracture, onset today",temporal bone fracture
"temporal bone fracture, since yesterday",temporal bone fracture
"temporal bone fracture, worsening with movement",temporal bone fracture
temporal bone fracture，worsening over hours,temporal bone fracture
temporal bone fracture with associated nausea,temporal bone fracture with associated nausea
temporal bone fracture with diaphoresis,temporal bone fracture with diaphoresis
temporal bone fracture with fever,temporal bone fracture with fever
temporal bone fracture with rigors,temporal bone fracture with rigors
temporal bone fracture with vomiting,temporal bone fracture with vomiting
tension pneumothorax,tension pneumothorax
tension pneumothorax in known patient,tension pneumothorax
"tension pneumothorax, constant",tension pneumothorax
"tension pneumothorax, for 2 days",tension pneumothorax
"tension pneumothorax, intermittent",tension pneumothorax
"tension pneumothorax, no prior history of this",tension pneumothorax
"tension pneumothorax, onset today",tension pneumothorax
"tension pneumothorax, since yesterday",tension pneumothorax
tension pneumothorax，worsening over hours,tension pneumothorax
tension pneumothorax with associated nausea,tension pneumothorax with associated nausea
tension pneumothorax with diaphoresis,tension pneumothorax with diaphoresis
tension pneumothorax with fever,tension pneumothorax with fever
tension pneumothorax with rigors,tension pneumothorax with rigors
tension pneumothorax with vomiting,tension pneumothorax with vomiting
testicular torsion,testicular torsion
testicular torsion in known patient,testicular torsion
"testicular torsion, constant",testicular torsion
"testicular torsion, for 2 days",testicular torsion
"testicular torsion, intermittent",testicular torsion
"testicular torsion, no prior history of this",testicular torsion
"testicular torsion, onset today",testicular torsion
"testicular torsion, since yesterday",testicular torsion
"testicular torsion, worsening with movement",testicular torsion
testicular torsion，worsening over hours,testicular torsion
testicular torsion with associated nausea,testicular torsion with associated nausea
testicular torsion with diaphoresis,testicular torsion with diaphoresis
testicular torsion with fever,testicular torsion with fever
testicular torsion with rigors,testicular torsion with rigors
testicular torsion with vomiting,testicular torsion with vomiting
throat irritation,throat irritation
throat irritation in known patient,throat irritation
